"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","로마의",1,2,"로마의",4.31472313404083,4.90408706665039,7.69707679748535,"로마의",891.285714285714,373.47619047619,219.238095238095,"-1",75611089,"ko","none",2031,7.616,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","종교와",1,3,"종교와",7.52022957801819,6.63553714752197,8.05720901489258,"종교와",686.095238095238,249.857142857143,186.857142857143,"-1",75611089,"ko","none",274,5.613,3,4.31472313404083,NA,2031,NA,3,NA,4.90408706665039,NA,7.69707679748535,NA,1,NA
"3","신화에서",1,4,"신화에서",8.41281223297119,5.4305739402771,7.54527616500854,"신화에서",630.571428571429,299.190476190476,203.52380952381,"-1",75611089,"ko","none",352,5.864,4,7.52022957801819,4.31472313404083,274,2031,3,3,6.63553714752197,4.90408706665039,8.05720901489258,7.69707679748535,1,1
"4","야누스는",1,5,"야누스는",13.1714426279068,5.14507532119751,7.84216690063477,"야누스는",659.904761904762,294.285714285714,207.47619047619,"-1",75611089,"ko","none",9,2.197,4,8.41281223297119,7.52022957801819,352,274,4,3,5.4305739402771,6.63553714752197,7.54527616500854,8.05720901489258,1,1
"5","시작과",1,6,"시작과",13.769483089447,6.73573398590088,8.19237422943115,"시작과",887.952380952381,319.666666666667,215.238095238095,"-1",75611089,"ko","none",223,5.407,3,13.1714426279068,8.41281223297119,9,352,4,4,5.14507532119751,5.4305739402771,7.84216690063477,7.54527616500854,1,1
"6","문의",1,7,"문의",13.0384693145752,5.44821262359619,7.72992038726807,"문의",676.571428571429,269.904761904762,211.47619047619,"-1",75611089,"ko","none",203,5.313,2,13.769483089447,13.1714426279068,223,9,3,4,6.73573398590088,5.14507532119751,8.19237422943115,7.84216690063477,1,1
"7","신으로",1,8,"신으로",8.75630474090576,5.11398696899414,7.59008359909058,"신으로",424.428571428571,159.380952380952,159.380952380952,"-1",75611089,"ko","none",268,5.591,3,13.0384693145752,13.769483089447,203,223,2,3,5.44821262359619,6.73573398590088,7.72992038726807,8.19237422943115,1,1
"8","여겨졌다",1,9,"여겨졌다.",2.73771226778626,5.60236740112305,7.77356195449829,"여겨졌다.",243.047619047619,133.904761904762,126.857142857143,"-1",75611089,"ko","none",2,0.693,4,8.75630474090576,13.0384693145752,268,203,3,2,5.11398696899414,5.44821262359619,7.59008359909058,7.72992038726807,1,1
"9","그는",1,10,"그는",3.66659212112427,5.9401535987854,7.80134582519531,"그는",107.666666666667,92.5238095238095,82.3333333333333,"-1",75611089,"ko","none",78068,11.265,2,2.73771226778626,8.75630474090576,2,268,4,3,5.60236740112305,5.11398696899414,7.77356195449829,7.59008359909058,1,1
"10","양면적",1,11,"양면적",16.7877521514893,6.55773162841797,8.08750438690186,"양면적",719.952380952381,381.47619047619,239.571428571429,"-1",75611089,"ko","none",6,1.792,3,3.66659212112427,2.73771226778626,78068,2,2,4,5.9401535987854,5.60236740112305,7.80134582519531,7.77356195449829,1,1
