"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"18","toinen",1,20,"toinen",5.38549423217773,5.98866653442383,7.95732021331787,"toinen",303.872340425532,204.212765957447,194.021276595745,"-1",89301621,"fi","none",17499,9.77,6,10.1326992511749,10.2621922492981,6,63,7,6,4.85380887985229,6.88916444778442,7.4454870223999,8.25891590118408,1,1
"19","katsoen",1,21,"katsoen",11.3532590866089,4.92648029327393,7.60647821426392,"katsoen",490.63829787234,255.36170212766,211.808510638298,"-1",89301621,"fi","none",555,6.319,7,5.38549423217773,10.1326992511749,17499,6,6,7,5.98866653442383,4.85380887985229,7.95732021331787,7.4454870223999,1,1
"20","tulevaisuuteen",1,22,"tulevaisuuteen",8.8596076965332,6.31801509857178,8.12165069580078,"tulevaisuuteen",555.255319148936,325.914893617021,231.723404255319,"-1",89301621,"fi","none",232,5.447,14,11.3532590866089,5.38549423217773,555,17499,7,6,4.92648029327393,5.98866653442383,7.60647821426392,7.95732021331787,1,1
"21","ja",1,23,"ja",1.94475746154785,3.1363639831543,7.26194715499878,"ja",9.14893617021277,9.14893617021277,9.14893617021277,"-1",89301621,"fi","none",1896017,14.455,2,8.8596076965332,11.3532590866089,232,555,14,7,6.31801509857178,4.92648029327393,8.12165069580078,7.60647821426392,1,1
"22","toinen",1,24,"toinen",0.641761243343353,2.19763278961182,6.30141735076904,"toinen",199.468085106383,165.148936170213,161.957446808511,"-1",89301621,"fi","none",17499,9.77,6,1.94475746154785,8.8596076965332,1896017,232,2,14,3.1363639831543,6.31801509857178,7.26194715499878,8.12165069580078,1,1
"23","menneisyyteen",1,25,"menneisyyteen.",8.3527798242867,6.39511442184448,8.26910305023193,"menneisyyteen.",464.957446808511,353.212765957447,243.085106382979,"-1",89301621,"fi","none",127,4.844,13,0.641761243343353,1.94475746154785,17499,1896017,6,2,2.19763278961182,3.1363639831543,6.30141735076904,7.26194715499878,1,1
"24","Janus",1,26,"Janus",0.849962502717972,3.36044239997864,6.83936643600464,"Janus",219.702127659574,188.744680851064,168.021276595745,"-1",89301621,"fi","none",74,4.304,5,8.3527798242867,0.641761243343353,127,17499,13,6,6.39511442184448,2.19763278961182,8.26910305023193,6.30141735076904,1,1
"25","hallitsi",1,27,"hallitsi",5.03809452056885,3.4127049446106,6.56628561019897,"hallitsi",553.404255319149,372.340425531915,261.936170212766,"-1",89301621,"fi","none",2696,7.9,8,0.849962502717972,8.3527798242867,74,127,5,13,3.36044239997864,6.39511442184448,6.83936643600464,8.26910305023193,1,1
"26","konfliktien",1,28,"konfliktien",16.3885679244995,6.59640836715698,8.12191963195801,"konfliktien",587.936170212766,452.191489361702,246.702127659574,"-1",89301621,"fi","none",91,4.511,11,5.03809452056885,0.849962502717972,2696,74,8,5,3.4127049446106,3.36044239997864,6.56628561019897,6.83936643600464,1,1
"27","alkua",1,29,"alkua",5.80749368667603,5.42816352844238,7.65839290618896,"alkua",303.085106382979,248.702127659574,239.489361702128,"-1",89301621,"fi","none",1261,7.14,5,16.3885679244995,5.03809452056885,91,2696,11,8,6.59640836715698,3.4127049446106,8.12191963195801,6.56628561019897,1,1
