"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","Roma",1,2,"Roma",2.31992673873901,4.06119346618652,7.00097131729126,"Roma",369.75,161.708333333333,134.75,"-1",48430061,"tr","none",8373,9.033,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","inanışlarında",1,3,"inanışlarında",11.005838394165,4.40212440490723,7.1951150894165,"inanışlarında",1164.25,621.5,212.416666666667,"-1",48430061,"tr","none",11,2.398,13,2.31992673873901,NA,8373,NA,4,NA,4.06119346618652,NA,7.00097131729126,NA,1,NA
"3","ve",1,4,"ve",3.38724589347839,6.4443621635437,8.37168025970459,"ve",172.833333333333,137.416666666667,132.791666666667,"-1",48430061,"tr","none",978829,13.794,2,11.005838394165,2.31992673873901,11,8373,13,4,4.40212440490723,4.06119346618652,7.1951150894165,7.00097131729126,1,1
"4","mitlerinde",1,5,"mitlerinde,",13.6899938583374,6.14390659332275,8.01605987548828,"mitlerinde,",1095.08333333333,448.583333333333,254.083333333333,"-1",48430061,"tr","none",3,1.099,10,3.38724589347839,11.005838394165,978829,11,2,13,6.4443621635437,4.40212440490723,8.37168025970459,7.1951150894165,1,1
"5","Janus",1,6,"Janus",10.2892909348011,7.23517322540283,8.63131141662598,"Janus",568.583333333333,223.291666666667,196.166666666667,"-1",48430061,"tr","none",27,3.296,5,13.6899938583374,3.38724589347839,3,978829,10,2,6.14390659332275,6.4443621635437,8.01605987548828,8.37168025970459,1,1
"6","başlangıçların",1,7,"başlangıçların",19.5223245620728,4.35709190368652,7.58999967575073,"başlangıçların",1606.33333333333,493.166666666667,198.958333333333,"-1",48430061,"tr","none",3,1.099,14,10.2892909348011,13.6899938583374,27,3,5,10,7.23517322540283,6.14390659332275,8.63131141662598,8.01605987548828,1,1
"7","ve",1,8,"ve",3.00056219100952,6.75792217254639,8.35891723632812,"ve",148.458333333333,116.833333333333,116.833333333333,"-1",48430061,"tr","none",978829,13.794,2,19.5223245620728,10.2892909348011,3,27,14,5,4.35709190368652,7.23517322540283,7.58999967575073,8.63131141662598,1,1
"8","kapıların",1,9,"kapıların",10.9166640043259,6.71067142486572,8.36749839782715,"kapıların",924.75,371.208333333333,214.75,"-1",48430061,"tr","none",69,4.234,9,3.00056219100952,19.5223245620728,978829,3,2,14,6.75792217254639,4.35709190368652,8.35891723632812,7.58999967575073,1,1
"9","tanrısıdır",1,10,"tanrısıdır.",6.93164506554604,7.04492950439453,8.41969585418701,"tanrısıdır.",856.458333333333,455.458333333333,248.916666666667,"-1",48430061,"tr","none",4,1.386,10,10.9166640043259,3.00056219100952,69,978829,9,2,6.71067142486572,6.75792217254639,8.36749839782715,8.35891723632812,1,1
"10","Onun",1,11,"Onun",5.3945460319519,5.0642147064209,7.56538677215576,"Onun",323.541666666667,277.791666666667,168.5,"-1",48430061,"tr","none",2186,7.69,4,6.93164506554604,10.9166640043259,4,69,10,9,7.04492950439453,6.71067142486572,8.41969585418701,8.36749839782715,1,1
"11","çift",1,12,"çift",10.4638757705688,6.43629550933838,8.20138168334961,"çift",374.708333333333,236.5,207.958333333333,"-1",48430061,"tr","none",3616,8.193,4,5.3945460319519,6.93164506554604,2186,4,4,10,5.0642147064209,7.04492950439453,7.56538677215576,8.41969585418701,1,1
"12","taraflı",1,13,"taraflı",3.82961630821228,3.08768558502197,7.01692819595337,"taraflı",639.75,359.333333333333,217.208333333333,"-1",48430061,"tr","none",562,6.332,7,10.4638757705688,5.3945460319519,3616,2186,4,4,6.43629550933838,5.0642147064209,8.20138168334961,7.56538677215576,1,1
"13","bir",1,14,"bir",2.61634755134583,5.31731796264648,7.8394923210144,"bir",173,152.875,131.375,"-1",48430061,"tr","none",509451,13.141,3,3.82961630821228,10.4638757705688,562,3616,7,4,3.08768558502197,6.43629550933838,7.01692819595337,8.20138168334961,1,1
"14","doğası",1,15,"doğası",5.40448045730591,6.53848123550415,8.10275650024414,"doğası",434.833333333333,234.916666666667,195.416666666667,"-1",48430061,"tr","none",353,5.866,6,2.61634755134583,3.82961630821228,509451,562,3,7,5.31731796264648,3.08768558502197,7.8394923210144,7.01692819595337,1,1
"15","vardır",1,16,"vardır",0.886123061180115,3.02871704101562,6.46502780914307,"vardır",474.333333333333,174.958333333333,151.416666666667,"-1",48430061,"tr","none",21036,9.954,6,5.40448045730591,2.61634755134583,353,509451,6,3,6.53848123550415,5.31731796264648,8.10275650024414,7.8394923210144,1,1
"16","ve",1,17,"ve",1.51062297821045,1.62435007095337,4.48874139785767,"ve",99.9583333333333,71.7083333333333,65.2083333333333,"-1",48430061,"tr","none",978829,13.794,2,0.886123061180115,5.40448045730591,21036,353,6,6,3.02871704101562,6.53848123550415,6.46502780914307,8.10275650024414,1,1
"17","genellikle",1,18,"genellikle",4.45857763290405,6.6556224822998,8.38108348846436,"genellikle",534.916666666667,296.458333333333,211.75,"-1",48430061,"tr","none",10595,9.268,10,1.51062297821045,0.886123061180115,978829,21036,2,6,1.62435007095337,3.02871704101562,4.48874139785767,6.46502780914307,1,1
"18","iki",1,19,"iki",3.73047876358032,6.98269653320312,8.47612190246582,"iki",187.291666666667,129.25,123.041666666667,"-1",48430061,"tr","none",52187,10.863,3,4.45857763290405,1.51062297821045,10595,978829,10,2,6.6556224822998,1.62435007095337,8.38108348846436,4.48874139785767,1,1
"19","yüzü",1,20,"yüzü",5.83787727355957,6.12420558929443,7.86029291152954,"yüzü",457.416666666667,259.208333333333,238.666666666667,"-1",48430061,"tr","none",795,6.678,4,3.73047876358032,4.45857763290405,52187,10595,3,10,6.98269653320312,6.6556224822998,8.47612190246582,8.38108348846436,1,1
"20","var",1,21,"var",7.15229463577271,5.41065311431885,7.65352964401245,"var",365.708333333333,215.625,193.291666666667,"-1",48430061,"tr","none",4562,8.426,3,5.83787727355957,3.73047876358032,795,52187,4,3,6.12420558929443,6.98269653320312,7.86029291152954,8.47612190246582,1,1
"21","olarak",1,22,"olarak",4.99065160751343,3.0954008102417,6.78062534332275,"olarak",575.75,257.375,210.25,"-1",48430061,"tr","none",213662,12.272,6,7.15229463577271,5.83787727355957,4562,795,3,4,5.41065311431885,6.12420558929443,7.65352964401245,7.86029291152954,1,1
"22","resmedilir",1,23,"resmedilir,",7.53548562526703,3.38863110542297,6.84838104248047,"resmedilir,",749,321.916666666667,224.625,"-1",48430061,"tr","none",4,1.386,10,4.99065160751343,7.15229463577271,213662,4562,6,3,3.0954008102417,5.41065311431885,6.78062534332275,7.65352964401245,1,1
"23","çünkü",1,24,"çünkü",4.92056083679199,6.14089775085449,8.12240982055664,"çünkü",372.333333333333,248.166666666667,185.291666666667,"-1",48430061,"tr","none",4433,8.397,5,7.53548562526703,4.99065160751343,4,213662,10,6,3.38863110542297,3.0954008102417,6.84838104248047,6.78062534332275,1,1
"24","o",1,25,"o",4.85855197906494,6.30589389801025,8.19042301177979,"o",114.416666666667,108.541666666667,93.6666666666667,"-1",48430061,"tr","none",19651,9.886,1,4.92056083679199,7.53548562526703,4433,4,5,10,6.14089775085449,3.38863110542297,8.12240982055664,6.84838104248047,1,1
"25","geçmişe",1,26,"geçmişe",13.0649843215942,6.32954692840576,8.09263134002686,"geçmişe",529.666666666667,315.375,223.75,"-1",48430061,"tr","none",472,6.157,7,4.85855197906494,4.92056083679199,19651,4433,1,5,6.30589389801025,6.14089775085449,8.19042301177979,8.12240982055664,1,1
"26","ve",1,27,"ve",6.21066331863403,2.61737847328186,6.04466485977173,"ve",46.625,35.9583333333333,35.9583333333333,"-1",48430061,"tr","none",978829,13.794,2,13.0649843215942,4.85855197906494,472,19651,7,1,6.32954692840576,6.30589389801025,8.09263134002686,8.19042301177979,1,1
"27","geleceğe",1,28,"geleceğe",5.71710348129272,6.53627634048462,8.19677066802979,"geleceğe",548.416666666667,349.291666666667,226.625,"-1",48430061,"tr","none",180,5.193,8,6.21066331863403,13.0649843215942,978829,472,2,7,2.61737847328186,6.32954692840576,6.04466485977173,8.09263134002686,1,1
"28","bakar",1,29,"bakar.",6.8625476360321,4.47187948226929,7.27055597305298,"bakar.",484.083333333333,283.75,222.291666666667,"-1",48430061,"tr","none",123,4.812,5,5.71710348129272,6.21066331863403,180,978829,8,2,6.53627634048462,2.61737847328186,8.19677066802979,6.04466485977173,1,1
"29","Janus",1,30,"Janus,",4.18498712033033,5.16507148742676,7.61392402648926,"Janus,",471.166666666667,292.125,218,"-1",48430061,"tr","none",27,3.296,5,6.8625476360321,5.71710348129272,123,180,5,8,4.47187948226929,6.53627634048462,7.27055597305298,8.19677066802979,1,1
"30","anlaşmazlıkların",1,31,"anlaşmazlıkların",14.883003950119,6.90478420257568,8.54813194274902,"anlaşmazlıkların",898.625,562.416666666667,121.541666666667,"-1",48430061,"tr","none",52,3.951,16,4.18498712033033,6.8625476360321,27,123,5,5,5.16507148742676,4.47187948226929,7.61392402648926,7.27055597305298,1,1
"31","başlamasını",1,32,"başlamasını",10.1426503658295,5.57308483123779,7.76588439941406,"başlamasını",744.041666666667,455.875,234.25,"-1",48430061,"tr","none",132,4.883,11,14.883003950119,4.18498712033033,52,27,16,5,6.90478420257568,5.16507148742676,8.54813194274902,7.61392402648926,1,1
