"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","roomalaisen","fi",1,2,"roomalaisen",5.30891335010529,3.3462347984314,7.13200616836548,"roomalaisen",637.617021276596,271.31914893617,183.021276595745,"taint_none",3.12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","mytologian","fi",1,3,"mytologian",2.94147105421871,5.09383487701416,7.2880277633667,"mytologian",470.978723404255,312.595744680851,248.191489361702,"taint_none",2.87,10,5.30891335010529,NA,3.12,NA,11,NA,3.3462347984314,NA,7.13200616836548,NA,1,NA
"3","mukaan","fi",1,4,"mukaan",0.802982568740845,4.37182140350342,7.64011907577515,"mukaan",252.382978723404,199.425531914894,190.893617021277,"taint_none",6.2,6,2.94147105421871,5.30891335010529,2.87,3.12,10,11,5.09383487701416,3.3462347984314,7.2880277633667,7.13200616836548,1,1
"4","Janus","fi",1,5,"Janus",9.71978545188904,7.30877828598022,8.50158214569092,"Janus",388.723404255319,264.659574468085,226.042553191489,"taint_none",3.32,5,0.802982568740845,2.94147105421871,6.2,2.87,6,10,4.37182140350342,5.09383487701416,7.64011907577515,7.2880277633667,1,1
"5","oli","fi",1,6,"oli",1.17308926582336,4.54638767242432,7.51533222198486,"oli",180.510638297872,152.297872340426,148.170212765957,"taint_none",6.81,3,9.71978545188904,0.802982568740845,3.32,6.2,5,6,7.30877828598022,4.37182140350342,8.50158214569092,7.64011907577515,1,1
"6","alkujen","fi",1,7,"alkujen",15.7110848426819,6.66425800323486,8.23327255249023,"alkujen",926.234042553191,391.574468085106,252.276595744681,"taint_none",2.2,7,1.17308926582336,9.71978545188904,6.81,3.32,3,5,4.54638767242432,7.30877828598022,7.51533222198486,8.50158214569092,1,1
"7","ja","fi",1,8,"ja",2.97368383407593,5.13036632537842,7.90029335021973,"ja",57.6595744680851,52.4042553191489,52.4042553191489,"taint_none",7.56,2,15.7110848426819,1.17308926582336,2.2,6.81,7,3,6.66425800323486,4.54638767242432,8.23327255249023,7.51533222198486,1,1
"8","porttien","fi",1,9,"porttien",11.9743953943253,5.98412895202637,7.85881662368774,"porttien",849,413,259.297872340426,"taint_none",3.28,8,2.97368383407593,15.7110848426819,7.56,2.2,2,7,5.13036632537842,6.66425800323486,7.90029335021973,8.23327255249023,1,1
"9","jumala","fi",1,10,"jumala.",3.01678669452667,5.39634656906128,7.57411336898804,"jumala.",336.765957446808,200.808510638298,175.063829787234,"taint_none",4.79,6,11.9743953943253,2.97368383407593,3.28,7.56,8,2,5.98412895202637,5.13036632537842,7.85881662368774,7.90029335021973,1,1
"10","Hän","fi",1,11,"Hän",1.76483404636383,5.11378049850464,7.36100149154663,"Hän",82.936170212766,65.3617021276596,65.3617021276596,"taint_none",6.63,3,3.01678669452667,11.9743953943253,4.79,3.28,6,8,5.39634656906128,5.98412895202637,7.57411336898804,7.85881662368774,1,1
"11","oli","fi",1,12,"oli",0.545551002025604,2.79867506027222,6.11459302902222,"oli",188.063829787234,161.085106382979,161.085106382979,"taint_none",6.81,3,1.76483404636383,3.01678669452667,6.63,4.79,3,6,5.11378049850464,5.39634656906128,7.36100149154663,7.57411336898804,1,1
"12","kaksoisluonteinen","fi",1,13,"kaksoisluonteinen",17.0356975793839,6.62199926376343,8.1989574432373,"kaksoisluonteinen",1192.06382978723,825.702127659574,223.617021276596,"taint_none",0,17,0.545551002025604,1.76483404636383,6.81,6.63,3,3,2.79867506027222,5.11378049850464,6.11459302902222,7.36100149154663,1,1
"13","ja","fi",1,14,"ja",1.63308882713318,4.21814441680908,7.10799694061279,"ja",14.8085106382979,14.8085106382979,14.8085106382979,"taint_none",7.56,2,17.0356975793839,0.545551002025604,0,6.81,17,3,6.62199926376343,2.79867506027222,8.1989574432373,6.11459302902222,1,1
"14","hänet","fi",1,15,"hänet",5.35713815689087,6.21098709106445,8.08752250671387,"hänet",290.723404255319,241.148936170213,210.723404255319,"taint_none",5.66,5,1.63308882713318,17.0356975793839,7.56,0,2,17,4.21814441680908,6.62199926376343,7.10799694061279,8.1989574432373,1,1
"15","kuvattiin","fi",1,16,"kuvattiin",2.75597429275513,4.19365644454956,6.66425323486328,"kuvattiin",322.170212765957,246.425531914894,183.170212765957,"taint_none",4.07,9,5.35713815689087,1.63308882713318,5.66,7.56,5,2,6.21098709106445,4.21814441680908,8.08752250671387,7.10799694061279,1,1
