"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"31","the","en",1,32,"the",1.46394491195679,5.01046943664551,7.45062637329102,"the",280.894736842105,197.105263157895,182.236842105263,"taint_none",7.73,3,3.48248767852783,7.05989217758179,7.43,5.36,2,5,4.29537773132324,3.75130009651184,6.73796081542969,6.67188501358032,1,1
"32","future","en",1,33,"future",7.2810754776001,6.15392827987671,7.79286766052246,"future",305.578947368421,225.868421052632,217.289473684211,"taint_none",5.33,6,1.46394491195679,3.48248767852783,7.73,7.43,3,2,5.01046943664551,4.29537773132324,7.45062637329102,6.73796081542969,1,1
"33","and","en",1,34,"and",2.13143253326416,3.39649939537048,6.3629002571106,"and",184.157894736842,137.473684210526,126.184210526316,"taint_none",7.41,3,7.2810754776001,1.46394491195679,5.33,7.73,6,3,6.15392827987671,5.01046943664551,7.79286766052246,7.45062637329102,1,1
"34","to","en",1,35,"to",4.38741302490234,5.76959896087646,7.67122602462769,"to",239.052631578947,167.947368421053,167.947368421053,"taint_none",7.43,2,2.13143253326416,7.2810754776001,7.41,5.33,3,6,3.39649939537048,6.15392827987671,6.3629002571106,7.79286766052246,1,1
"35","the","en",1,36,"the",0.354528665542603,2.3940863609314,6.7787652015686,"the",265.763157894737,193.789473684211,172.5,"taint_none",7.73,3,4.38741302490234,2.13143253326416,7.43,7.41,2,3,5.76959896087646,3.39649939537048,7.67122602462769,6.3629002571106,1,1
"36","past","en",1,37,"past.",5.04676657915115,1.45075392723083,5.99508810043335,"past.",215.973684210526,150.473684210526,142.973684210526,"taint_none",5.36,4,0.354528665542603,4.38741302490234,7.73,7.43,3,2,2.3940863609314,5.76959896087646,6.7787652015686,7.67122602462769,1,1
"37","Janus","en",1,38,"Janus",1.78121742559597,3.64607334136963,6.4743185043335,"Janus",399.342105263158,259.236842105263,231.763157894737,"taint_none",3.02,5,5.04676657915115,0.354528665542603,5.36,7.73,4,3,1.45075392723083,2.3940863609314,5.99508810043335,6.7787652015686,1,1
"38","presided","en",1,39,"presided",11.3902673721313,3.0556161403656,6.64838314056396,"presided",545.815789473684,315.368421052632,214.815789473684,"taint_none",3.41,8,1.78121742559597,5.04676657915115,3.02,5.36,5,4,3.64607334136963,1.45075392723083,6.4743185043335,5.99508810043335,1,1
"39","over","en",1,40,"over",0.179591059684753,1.21281635761261,5.54695749282837,"over",229.342105263158,167.947368421053,147.394736842105,"taint_none",6.08,4,11.3902673721313,1.78121742559597,3.41,3.02,8,5,3.0556161403656,3.64607334136963,6.64838314056396,6.4743185043335,1,1
"40","the","en",1,41,"the",0.683543503284454,2.60096883773804,6.53815793991089,"the",104,88.9210526315789,69,"taint_none",7.73,3,0.179591059684753,11.3902673721313,6.08,3.41,4,8,1.21281635761261,3.0556161403656,5.54695749282837,6.64838314056396,1,1
